EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
356180.700,378316.800,478684.600,486861.900,477319.800,135904.600,364177.800,121246.800,0.000
354477.700,376520.000,476588.600,485200.800,475238.300,135224.400,362526.400,120430.700,0.000
352608.200,374721.700,474508.300,482619.800,473182.200,134337.500,360701.800,119687.900,0.000
350853.200,372979.300,472349.600,479779.700,471029.800,133518.500,358875.300,119169.000,0.000
349299.000,371274.200,470138.900,477537.200,468806.300,132900.400,357185.200,118715.700,0.000
347757.400,369532.700,467964.400,475869.400,466622.300,132320.300,355577.900,118106.400,0.000
346064.700,367735.700,465855.400,474082.300,464521.500,131598.700,353921.700,117353.500,0.000
344294.000,365952.900,463763.200,471777.300,462445.800,130791.400,352184.300,116655.900,0.000
342611.300,364243.800,461639.100,469247.000,460329.300,130065.900,350438.200,116114.600,0.000
341034.100,362568.300,459489.900,466972.100,458174.900,129440.800,348742.500,115615.600,0.000
332933.900,353554.000,454268.300,461953.200,452948.000,126658.300,337128.300,113765.100,0.000
312110.800,330319.200,443083.100,450990.000,441768.300,119706.400,306128.900,109436.600,0.000
287264.800,302581.000,429947.800,437851.400,428645.900,111660.500,268709.700,104484.700,0.000
267897.000,280911.700,419234.000,426943.300,417941.800,105735.900,239083.900,100764.300,0.000
255121.200,266580.700,411605.700,419128.400,410315.200,101955.600,219323.200,98282.790,0.000
248978.700,259728.200,407373.900,414875.200,406080.900,99908.230,210250.000,96863.370,0.000
248484.400,259280.400,406118.600,413762.100,404825.500,99335.990,210530.000,96383.310,0.000
250178.300,261300.300,405935.800,413726.300,404648.200,99576.020,214241.200,96390.090,0.000
250094.200,261300.400,404727.100,412485.400,403447.300,99575.570,214748.100,96202.950,0.000
247326.200,258288.000,402131.900,409672.600,400856.900,98792.750,210829.500,95535.980,0.000
244285.300,254982.300,399480.000,406842.400,398204.700,97689.700,206699.200,94728.590,0.000
243089.100,253731.200,397823.300,405261.500,396546.000,96991.950,205765.700,94199.030,0.000
242766.100,253459.600,396649.500,404329.100,395374.600,96573.610,206381.000,93823.010,0.000
240875.900,251518.600,394798.600,402559.300,393531.600,95634.140,204757.400,93140.230,0.000
237263.400,247738.400,392118.600,399650.300,390859.400,94129.830,200519.800,92156.770,0.000
234420.900,244768.000,389598.100,396849.500,388340.300,93010.130,197159.300,91395.770,0.000
233979.400,244326.400,387960.200,395235.200,386699.000,92837.610,197097.300,91117.370,0.000
234518.800,244907.100,386738.000,394306.700,385476.700,92999.840,198475.400,90952.920,0.000
233591.900,243946.000,385000.100,392724.500,383746.100,92543.800,197871.400,90423.500,0.000
230938.500,241190.300,382599.700,390099.000,381355.100,91407.730,194832.500,89574.510,0.000
228559.400,238731.100,380264.700,387426.500,379022.900,90402.550,192103.700,88865.050,0.000
227861.700,238011.000,378549.700,385695.800,377304.000,90077.600,191697.400,88522.020,0.000
227902.600,238037.600,377146.500,384606.300,375899.100,90043.660,192373.400,88264.630,0.000
226888.000,236973.500,375395.000,383054.100,374154.400,89577.220,191635.800,87728.310,0.000
224599.600,234621.000,373175.400,380623.600,371945.100,88588.980,189116.600,86956.000,0.000
222490.400,232466.000,370984.300,378071.700,369757.800,87669.480,186787.000,86298.880,0.000
221605.400,231544.600,369213.400,376257.100,367982.900,87257.040,186123.200,85920.130,0.000
221291.100,231178.300,367670.700,375024.200,366437.800,87096.090,186279.200,85600.870,0.000
220258.000,230087.200,365915.200,373487.500,364688.400,86644.820,185487.600,85071.520,0.000
218314.500,228108.300,363850.500,371232.500,362634.100,85797.130,183443.000,84371.680,0.000
216455.300,226227.900,361784.900,368808.100,360573.000,84961.740,181473.300,83760.590,0.000
215424.000,225150.100,359976.100,366936.900,358760.700,84480.700,180608.700,83350.230,0.000
214811.500,224459.500,358324.300,365574.800,357106.100,84209.050,180331.800,82977.890,0.000
213754.100,223338.800,356566.000,364036.800,355353.400,83762.730,179483.900,82455.230,0.000
212090.800,221659.600,354626.800,361931.400,353424.300,83029.910,177821.700,81817.410,0.000
210442.300,220006.100,352666.700,359631.900,351469.000,82269.880,176151.600,81245.450,0.000
209301.100,218811.600,350835.500,357727.400,349634.900,81738.670,175136.100,80809.350,0.000
208450.300,217866.200,349103.200,356254.300,347899.900,81376.380,174514.700,80394.300,0.000
207370.300,216720.200,347344.700,354704.800,346146.500,80929.870,173616.500,79878.820,0.000
205930.100,215276.500,345505.100,352724.200,344316.400,80289.220,172255.000,79293.100,0.000
204455.800,213806.400,343632.200,350542.500,342448.400,79595.230,170828.700,78753.770,0.000
203237.100,212530.400,341791.900,348624.100,340605.900,79029.890,169706.500,78297.740,0.000
202203.100,211393.200,340004.400,347059.700,338816.200,78596.080,168821.200,77849.770,0.000
201103.300,210226.500,338248.600,345493.100,337064.900,78145.970,167879.900,77341.670,0.000
199835.000,208961.300,336486.300,343614.200,335311.300,77576.980,166746.500,76798.640,0.000
