EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
507000.300,519421.600,708505.800,708632.500,708431.800,249836.500,459898.600,222848.600,0.000
505582.900,517964.500,708440.400,708566.700,708366.400,248473.000,458709.500,222221.600,0.000
503353.400,515794.800,708375.400,708501.600,708301.600,246790.700,457188.600,221548.900,0.000
503081.900,515536.000,708395.800,708521.800,708322.000,247130.200,456758.300,221810.800,0.000
504810.000,517153.600,708458.900,708585.000,708384.700,248976.600,457332.300,222621.000,0.000
505524.700,517747.600,708463.000,708589.100,708388.300,249567.500,457321.600,222789.700,0.000
504150.600,516333.900,708404.100,708530.100,708329.800,248231.000,456176.600,222179.600,0.000
501932.100,514177.400,708341.400,708466.800,708267.000,246550.300,454679.200,221509.500,0.000
501627.100,513893.400,708358.800,708484.800,708284.700,246854.900,454245.600,221753.900,0.000
503344.700,515511.500,708422.400,708548.400,708347.800,248693.400,454831.000,222561.300,0.000
504074.300,516127.300,708430.800,708556.600,708356.100,249295.000,454843.800,222733.900,0.000
502718.000,514734.900,708374.500,708500.100,708300.300,247965.300,453725.900,222123.100,0.000
500508.500,512590.500,708315.300,708440.600,708241.300,246278.100,452252.900,221450.300,0.000
500183.800,512295.600,708334.100,708459.700,708260.300,246565.100,451831.100,221690.300,0.000
501912.800,513925.000,708402.300,708528.300,708328.300,248410.700,452443.900,222502.100,0.000
502674.600,514571.400,708413.400,708539.300,708338.700,249036.800,452490.600,222683.000,0.000
501345.300,513209.400,708357.200,708482.800,708282.600,247725.600,451401.200,222077.700,0.000
499134.900,511067.800,708296.500,708422.300,708222.100,246035.600,449939.100,221404.100,0.000
498802.300,510766.500,708318.300,708444.000,708244.000,246310.700,449529.000,221638.500,0.000
500536.100,512403.600,708387.900,708513.800,708313.300,248151.200,450157.600,222449.000,0.000
501328.800,513085.700,708400.900,708526.900,708326.800,248807.100,450239.300,222646.500,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
500032.300,511754.800,708344.900,708470.400,708270.800,247516.900,449183.100,222049.000,0.000
496461.800,507789.100,708317.400,708443.400,708243.300,246977.300,443094.400,221955.500,0.000
494307.700,505705.500,708259.500,708385.300,708185.800,245281.300,441710.100,221273.900,0.000
493917.700,505353.100,708279.500,708405.600,708205.700,245469.200,441322.800,221466.600,0.000
495697.400,507040.500,708352.100,708477.800,708278.100,247340.200,442024.900,222293.100,0.000
496632.200,507862.000,708370.600,708496.600,708296.800,248099.300,442233.700,222535.000,0.000
495469.700,506664.000,708320.800,708446.600,708246.500,246885.000,441295.700,221962.500,0.000
493339.000,504600.500,708263.300,708389.100,708189.500,245193.900,439934.700,221279.000,0.000
492941.500,504242.000,708282.400,708408.300,708208.500,245367.600,439551.200,221459.000,0.000
494734.500,505942.300,708355.900,708481.800,708281.900,247241.400,440274.000,222289.900,0.000
495698.100,506792.400,708373.800,708499.400,708299.400,248017.600,440507.800,222536.800,0.000
494568.900,505623.800,708325.600,708451.400,708251.600,246821.000,439601.500,221974.600,0.000
492461.200,503579.300,708273.000,708398.900,708200.100,245136.800,438267.300,221302.300,0.000
492051.600,503203.700,708294.900,708421.300,708221.900,245297.200,437896.400,221490.300,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
493851.000,504910.200,708370.200,708496.500,708296.500,247176.200,438637.800,222328.200,0.000
