timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1681374982.7102945,229119.78125,645318.25,710738.125,494059.5,710675.0625,711065.8125,710933.5625,258038.921875,0.0
1681374982.7158833,229483.3125,646730.875,710793.8125,494276.21875,710730.8125,711121.5625,710989.4375,258494.71875,0.0
1681374982.7158992,228834.84375,646499.9375,710768.3125,493950.5,710705.875,711096.0,710964.125,258432.578125,0.0
1681374982.7227802,227486.140625,644020.5,710651.3125,493207.625,710588.4375,710978.875,710846.6875,257629.53125,0.0
1681374982.725258,227858.171875,643222.375,710650.75,493353.375,710587.5625,710978.25,710845.875,257450.984375,0.0
1681374982.777845,229064.71875,644927.3125,710740.375,493917.59375,710677.25,711067.75,710935.625,257990.640625,0.0
1681374982.7916613,229436.5625,646354.25,710795.625,494136.84375,710732.375,711122.6875,710990.8125,258449.296875,0.0
1681374982.794164,228794.53125,646135.25,710770.125,493813.4375,710707.5625,711097.4375,710965.375,258388.6875,0.0
1681374982.797269,227449.03125,643660.375,710652.5625,493070.5625,710590.0,710980.0625,710847.8125,257582.671875,0.0
1681374982.7973,227822.046875,642847.5625,710649.625,493209.5,710586.875,710976.9375,710844.625,257400.5625,0.0
1681374982.799112,229038.0625,644553.8125,710739.375,493770.96875,710676.875,711067.125,710934.75,257938.96875,0.0
1681374982.8015203,229415.546875,645991.0,710795.4375,493997.0,710732.5625,711122.75,710990.625,258398.96875,0.0
1681374982.806555,228783.4375,645797.6875,710772.1875,493684.625,710709.0625,711099.25,710967.25,258347.828125,0.0
1681374982.8090177,227424.890625,643322.0625,710654.8125,492934.75,710591.5625,710982.0,710850.125,257538.25,0.0
1681374982.811515,227784.578125,642486.0625,710652.1875,493071.8125,710588.875,710979.4375,710847.5625,257349.859375,0.0
1681374982.814016,229000.25,644181.0,710738.8125,493628.8125,710675.8125,711066.3125,710934.1875,257885.140625,0.0
1681374982.8165257,229380.140625,645616.125,710793.625,493848.3125,710731.0,711121.5625,710989.0625,258344.25,0.0
1681374982.8190098,228751.609375,645425.9375,710768.3125,493532.625,710705.875,711096.4375,710963.625,258293.734375,0.0
1681374982.8216164,227404.78125,642976.1875,710653.5625,492787.40625,710590.9375,710981.5625,710849.0,257498.1875,0.0
1681374982.8239918,227745.59375,642123.0625,710652.625,492913.75,710590.0,710980.875,710847.75,257304.4375,0.0
1681374982.826536,228965.375,643818.25,710744.375,493474.15625,710681.875,711072.6875,710939.4375,257843.828125,0.0
1681374982.831535,229359.390625,645274.4375,710802.6875,493699.71875,710739.8125,711130.5,710997.6875,258315.90625,0.0
1681374982.8340333,228739.890625,645112.4375,710781.125,493397.875,710718.8125,711109.625,710976.6875,258278.171875,0.0
1681374982.8365204,227380.546875,642655.4375,710666.4375,492654.03125,710603.625,710994.1875,710861.875,257478.078125,0.0
1681374982.8391068,227705.1875,641778.625,710661.0625,492770.25,710598.4375,710988.625,710856.4375,257271.71875,0.0
